data:text/csv;charset=utf-8,Id,m0
StatusCode,Complete
Messages,
Full label,eu-central-1:AWS/RDS DBInstanceIdentifier:morenomodelsinstance1 DatabaseConnections Sum 300
Label,DatabaseConnections
2022/12/22 07:25:00,0
2022/12/22 07:30:00,0
2022/12/22 07:35:00,7
2022/12/22 07:40:00,14
2022/12/22 07:45:00,20
2022/12/22 07:50:00,23
2022/12/22 07:55:00,25
2022/12/22 08:00:00,25
2022/12/22 08:05:00,25
2022/12/22 08:10:00,19
2022/12/22 08:15:00,15
2022/12/22 08:20:00,21
2022/12/22 08:25:00,25
2022/12/22 08:30:00,25
2022/12/22 08:35:00,19
2022/12/22 08:40:00,21
2022/12/22 08:45:00,25
2022/12/22 08:50:00,25
2022/12/22 08:55:00,22
2022/12/22 09:00:00,20
2022/12/22 09:05:00,19
2022/12/22 09:10:00,15
2022/12/22 09:15:00,20
2022/12/22 09:20:00,20
2022/12/22 09:25:00,22
2022/12/22 09:30:00,25
2022/12/22 09:35:00,23
2022/12/22 09:40:00,15
2022/12/22 09:45:00,14
2022/12/22 09:50:00,29
2022/12/22 09:55:00,25
2022/12/22 10:00:00,17
2022/12/22 10:05:00,19
2022/12/22 10:10:00,20
2022/12/22 10:15:00,25
2022/12/22 10:20:00,29
2022/12/22 10:25:00,28
2022/12/22 10:30:00,26
2022/12/22 10:35:00,30
2022/12/22 10:40:00,30
2022/12/22 10:45:00,30
2022/12/22 10:50:00,39
2022/12/22 10:55:00,40
2022/12/22 11:00:00,20
2022/12/22 11:05:00,20
2022/12/22 11:10:00,20
2022/12/22 11:15:00,15
2022/12/22 11:20:00,15
2022/12/22 11:25:00,19
2022/12/22 11:30:00,22
2022/12/22 11:35:00,25
2022/12/22 11:40:00,25
2022/12/22 11:45:00,25
2022/12/22 11:50:00,25
2022/12/22 11:55:00,23
2022/12/22 12:00:00,15
2022/12/22 12:05:00,29
2022/12/22 12:10:00,25
2022/12/22 12:15:00,25
2022/12/22 12:20:00,25
2022/12/22 12:25:00,25
2022/12/22 12:30:00,25
2022/12/22 12:35:00,22
2022/12/22 12:40:00,25
2022/12/22 12:45:00,25
2022/12/22 12:50:00,22
